GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PI_6_Semestre,principal,Pedido,2079,0,36,0,466,0,33,0,15,0
PI_6_Semestre,principal,cadastroUsuario.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,cadastroUsuario.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,cadastroUsuario.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,cadastroUsuario.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoProduto.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoProduto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoProduto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoProduto,703,0,16,0,169,0,19,0,11,0
PI_6_Semestre,principal,Pedido.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Pedido.new KeyAdapter() {...},34,0,2,0,4,0,3,0,2,0
PI_6_Semestre,principal,ManutencaoProduto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoProduto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new Runnable() {...},13,0,0,0,5,0,2,0,2,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,CadastrarFornecedor.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,CadastrarFornecedor.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,CadastrarFornecedor.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,CadastrarProduto.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,CadastrarProduto.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,CadastrarProduto.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Principal.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new DefaultTableModel() {...},41,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Compra.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoPedido,2184,0,30,0,492,0,31,0,16,0
PI_6_Semestre,principal,Principal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,Principal,131,504,4,0,42,95,14,2,12,2
PI_6_Semestre,principal,Compra,3548,0,48,0,492,0,51,0,27,0
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Login.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
PI_6_Semestre,principal,Login.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PI_6_Semestre,principal,ManutencaoPedido.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
